GAS,TEMP,MODEL,SAMPLING,LOW,R2_MEAN_HIGH_1,R2_MEAN_HIGH_5,R2_MEAN_HIGH_15,R2_STD_HIGH_1,R2_STD_HIGH_5,R2_STD_HIGH_15,MAE_MEAN_HIGH_1,MAE_MEAN_HIGH_5,MAE_MEAN_HIGH_15,MAE_STD_HIGH_1,MAE_STD_HIGH_5,MAE_STD_HIGH_15,INPUT_HIGH_1,INPUT_HIGH_5,INPUT_HIGH_15
He,313,gbm,random_struct,0.01,0.9608399280603204,0.960611334615956,0.960598706060588,0.0388239498206964,0.0340172642674468,0.0405064361722789,0.0008826308234183,0.0043852492149321,0.0128602642526232,5.297997611286263e-05,0.0002532813317637,0.0007561965690465,struct+input,struct+input,struct+input
He,313,gbm,random_struct,0.05,0.96072293584321,0.965292667311028,0.9605620277692306,0.0381384737838184,0.0348758939886631,0.0406245729608653,0.0006037974402867,0.0029268276543863,0.0087868425841162,5.059080356109803e-05,0.000228804334678,0.0006882248554455,struct+input,struct+input,struct+input
He,313,gbm,random_struct,0.1,0.962500111003494,0.9629974674873372,0.9573324477408868,0.0384003303460796,0.0347865999341578,0.0407520105905095,0.0005034952328917,0.0024549570305654,0.0073558115107009,4.915505451460928e-05,0.0002340090153814,0.000787832159062,struct+input,struct+input,struct+input
He,313,gbm,random_struct,0.5,0.957077430976176,0.9653948921501176,0.9573659279731124,0.0389377118401879,0.0351883207366813,0.040895892398026,0.0003432027915736,0.0015589948125031,0.0048460174019667,5.666897929866844e-05,0.0002662535292192,0.0007613582451393,struct+input,struct+input,struct+input
He,313,rf,random_struct,0.01,0.9625839571856551,0.9594131048567668,0.9598977931993716,0.0471276844611325,0.0415071630451506,0.0484716315998944,0.0008726773990321,0.0043567808980598,0.0127069545139943,6.225399774146955e-05,0.0002827718162932,0.0008058376963864,struct+input,struct+input,struct+input
He,313,rf,random_struct,0.05,0.9650729977605612,0.9634172090666548,0.9618800540656718,0.0474149711677143,0.0420548365609913,0.0485644686968847,0.0005888188680485,0.0028864205701064,0.0086203818998745,5.731118797301168e-05,0.0002532526926769,0.0007622321652426,struct+input,struct+input,struct+input
He,313,rf,random_struct,0.1,0.9660524614838518,0.962511999029454,0.9628973274407469,0.047501969812648,0.0417201140586738,0.0487524001947397,0.0004897142482066,0.0024231078779646,0.0071920087701499,5.380586871211791e-05,0.0002493852945554,0.0007585960021746,struct+input,struct+input,struct+input
He,313,rf,random_struct,0.5,0.966265799623124,0.9633772461367835,0.9637653130083872,0.047471272512518,0.0420514519725909,0.0488630078061675,0.0003305386160412,0.0015762640197698,0.004760667872352,5.701086078435672e-05,0.000268297028845,0.0007662810998427,struct+input,struct+input,struct+input
N2,293,cat,random_struct,0.01,,0.7793962156632412,,,0.084503281013195,,,0.0775206421045734,,,0.005835345969366,,,struct+input,
N2,293,gbm,random_struct,0.01,,0.926661506330119,,,0.0190493511598647,,,0.0734796209720804,,,0.0038486796553499,,,struct+input,
N2,293,rf,random_struct,0.01,,0.9236497358367496,,,0.0152589017526109,,,0.0742529267491084,,,0.0040332697025187,,,struct+input,
O2,293,cat,random_struct,0.01,,0.8651327663311472,,,0.1588618507094884,,,0.0674559008585271,,,0.0059217486632561,,,struct+input,
O2,293,gbm,random_struct,0.01,,0.9021746590374264,,,0.1132798303794382,,,0.0662812968119036,,,0.0058420917154373,,,struct+input,
O2,293,rf,random_struct,0.01,,0.8989543587526487,,,0.1123048113080941,,,0.0656263293610554,,,0.0067397830100038,,,struct+input,
