folder,filename,num_atoms,a,b,c,aspect_ratio_ab,aspect_ratio_ac,aspect_ratio_bc
,TATSIS_clean.cif,108,9.819,11.0731,12.6499,0.8867435496834672,0.7762116696574677,0.8753507932869035
,XUFYAA_clean.cif,390,23.684842165560234,23.684842165560234,23.684842165560234,1.0,1.0,1.0
,TOFQEM_clean.cif,108,6.0392,12.3195,25.366,0.49021470027192665,0.23808247260111962,0.4856697942127257
,CICYIX_clean.cif,16,5.3262,6.2885,8.1008,0.846974636240757,0.6574906182105471,0.7762813549279084
,HOGJUK_clean.cif,118,8.8345,16.246,18.33553702001935,0.5437953957897329,0.4818239024226124,0.8860389516959376
,KUTRUO_clean.cif,320,15.369499812941212,15.369499812941214,21.54,0.9999999999999999,0.7135329532470387,0.7135329532470388
,IZEBEV_clean.cif,134,6.77,14.465,17.773,0.4680262703076391,0.3809148708715467,0.8138749789005796
,TUMRIE_clean.cif,136,9.9977,12.0082,18.2887,0.8325727419596609,0.5466599594284997,0.6565912284634775
,WAXJAJ_clean.cif,56,7.7158,11.266,16.218,0.6848748446653647,0.47575533357997285,0.6946602540387224
,HUFYIS_clean.cif,240,11.7929,19.091300000000004,19.091300000000004,0.6177106849716886,0.6177106849716886,1.0
,ZOFZOL_clean.cif,152,10.213,17.607,28.123,0.5800533878571023,0.36315471322405146,0.6260711872844291
,PEXTUI_clean.cif,154,10.226,10.814,29.876,0.9456260403181063,0.3422814299102959,0.36196277948855266
,RUFRIV_clean.cif,198,13.6546,14.2126,14.6377,0.9607390625219876,0.9328378092186613,0.9709585522315664
,cm503311x_aloh175K_clean.cif,28,6.6303,11.05136992153009,11.051369921530089,0.5999527702970979,0.599952770297098,1.0000000000000002
,FAVKAP_clean.cif,56,11.184000000000001,11.184,14.591,1.0000000000000002,0.7664998971969023,0.7664998971969021
,GAMTEU_clean.cif,56,8.581999999999999,10.956,11.217,0.7833150784958013,0.7650887046447356,0.9767317464562716
,KOHDIW_clean.cif,432,14.5656,22.7022,28.2647,0.6415942067288632,0.5153283070402304,0.8031997509260668
,WEBQOL_clean.cif,60,9.88,9.88,13.333,1.0,0.7410185254631366,0.7410185254631366
,WAHMEY_clean.cif,81,6.95,15.673000000000002,15.673,0.44343775920372613,0.4434377592037262,1.0000000000000002
,NOQKOV_clean.cif,117,11.561800000000002,11.849300000000001,15.7206,0.9757369633649245,0.7354553897433942,0.753743495795326
,XEYMAR_clean.cif,264,18.0043,18.159399999999998,21.1164,0.9914589689086645,0.8526216589949045,0.8599666609838797
,CAVPIA_manual.cif,516,27.449,27.449,27.449,1.0,1.0,1.0
,RUWWOW01_clean.cif,60,9.36,9.936000000000002,11.384,0.9420289855072461,0.8222066057624736,0.8728039353478567
,JOLYEQ_clean.cif,237,5.1277,35.071882596430115,35.07188259643012,0.14620543924043405,0.14620543924043403,0.9999999999999998
,NIKJIB_clean.cif,340,9.4217,22.1411,26.34,0.4255298968885918,0.3576955201214882,0.8405884586180714
,JADMAF_clean.cif,452,10.77,23.78,24.118837554907163,0.45290159798149704,0.4465389335403008,0.9859513314381014
